Stock Name,RS Rating,Basic Industry,EPS Latest Quarter,QoQ % EPS Latest,YoY% EPS Latest,Sales Latest Quarter,QoQ % Sales Latest,YoY % Sales Latest
ALKYLAMINE,48,Chemicals Specialty,8.56,-7.9,29.1,371.2,-10.5,15.2
ASAHISONG,48,Chemicals Specialty,2.63,-19.6,437.2,133.72,-5.6,30.8
ABMINTLLTD,47,Chemicals Specialty,-2.19,-305.6,1.4,16.68,-0.2,-21
IGPL,46,Chemicals Specialty,9.01,-2,284.6,558.05,-4.3,14.3
PREMEXPLN,44,Chemicals Specialty,1.71,9.6,6.9,165.92,75.4,271.8
DYNPRO,42,Chemicals Specialty,3.65,12.7,238,95.54,-2.4,33.4
FINEORG,42,Chemicals Specialty,29.03,-21.3,-5.8,521.51,-12.4,22.5
PUNJABCHEM,42,Chemicals Specialty,4.95,-51,-46.3,213.89,-11.7,-0.2
DEEPAKNTR,41,Chemicals Specialty,7.19,-49.5,-51.8,1903.4,-6.3,-5.3
TIRUMALCHM,39,Chemicals Specialty,-4.1,-954.2,-88.9,446.65,-15,-9.2
APCOTEXIND,37,Chemicals Specialty,2.23,5.2,0.5,355.27,1.2,38.2
PODDARMENT,37,Chemicals Specialty,4.67,-3.5,-31.3,90.39,-1.9,0.2
CHEMCON,35,Chemicals Specialty,2.41,38.5,89.8,54.39,3.3,2.5
AARTIIND,33,Chemicals Specialty,1.27,-11.8,-63.5,1840,13,6.2
SEYAIND,33,Chemicals Specialty,-0.55,-400,11.3,0,-100,-100
INDOAMIN,32,Chemicals Specialty,1.6,-17.9,13.5,258.84,-3.9,33.5
ALKALI,31,Chemicals Specialty,-4.84,-160.2,-1225.6,22.34,9.1,-9.3
ADVENZYMES,31,Chemicals Specialty,3.37,14.2,-12,169.11,15.7,5
OCCLLTD,31,Chemicals Specialty,1.05,-30,NA,96.19,-6.7,NA
JOCIL,30,Chemicals Specialty,-2.96,-329.5,14.7,219.95,-4.3,27.5
AKSHARCHEM,28,Chemicals Specialty,1.48,14.7,196,90.69,14.9,20.4
TATACHEM,28,Chemicals Specialty,-2.08,-127.3,-133,3590,-10.2,-3.8
BODALCHEM,25,Chemicals Specialty,0.43,2250,152.9,443.47,3.5,31
PLASTIBLEN,25,Chemicals Specialty,2.58,6.2,1.6,184.37,-0.5,-6.5
KANORICHEM,24,Chemicals Specialty,-3.82,-20.5,-112.2,347.52,-7,1.6
ANDHRSUGAR,23,Chemicals Specialty,0.06,-82.4,-92.4,510.9,-3.3,13.2
GOCLCORP,22,Chemicals Specialty,18.64,1579.3,484.3,138.2,8.2,-17.3
NOCIL,22,Chemicals Specialty,0.77,-69.6,-58.6,318.13,-12.3,-6.6
SRD,22,Chemicals Specialty,0.45,12.5,4.7,101.89,7.9,18.5
AARTISURF,21,Chemicals Specialty,1.08,-52.6,-86.4,162.78,7.9,17.2
GUJALKALI,19,Chemicals Specialty,-1.53,38.3,90.2,1029.41,3.9,11.8
VIKASECO,19,Chemicals Specialty,0,-100,-100,84.76,25.8,23.7
VALIANTORG,15,Chemicals Specialty,1.98,142.9,171.2,186.86,16.6,32.1
VINYLINDIA,15,Chemicals Specialty,2.73,-2.8,-27.8,146.4,-2.6,-7.9
FCL,14,Chemicals Specialty,2.41,-13.3,-20.5,125.92,-13.6,-9.1
VIKASLIFE,11,Chemicals Specialty,-0.04,-300,-166.7,117.85,-12.7,18.6
BALAMINES,9,Chemicals Specialty,10.24,-19.1,-33.1,312.73,-9.9,-18.4
SIGIND,9,Chemicals Specialty,1.54,41.3,-19.4,303.98,18,-2.4
STALLION,5,Chemicals Specialty,1.59,-41.1,NA,85.15,-39.6,NA
HPAL,4,Chemicals Specialty,0.43,-6.5,-34.8,65.75,11.6,19.9
OCCL,2,Chemicals Specialty,1.85,825,-72.7,29.65,-7.8,-71.4
GODAVARIB,1,Chemicals Specialty,1.13,106.3,NA,447.27,39.3,NA
SADHNANIQ,0,Chemicals Specialty,0.08,300,-33.3,37.1,-13.5,-16
REFEX,98,Chemicals-Basic,3.88,50.4,153.6,717.13,35.9,134.3
TECILCHEM,74,Chemicals-Basic,NA,NA,NA,0,-100,-100
LINDEINDIA,66,Chemicals-Basic,13.37,9.2,-3.3,605.86,-4.5,-14.2
FAIRCHEMOR,60,Chemicals-Basic,2.7,-12.6,-71.7,113.57,-18.1,-23.4
GHCLTEXTIL,59,Chemicals-Basic,0.98,-54.8,84.9,285,-6.5,16.6
TATVA,26,Chemicals-Basic,0.06,122.2,-96.1,85.9,2.9,1.9
LXCHEM,23,Chemicals-Basic,1.06,2.9,7.1,786.34,2,13.4
SHAILY,99,Chemicals-Plastics,5.48,14.6,70.2,197.58,2.9,24.6
TIMETECHNO,91,Chemicals-Plastics,4.44,2.3,7.5,1387.74,1.3,4.8
AVROIND,89,Chemicals-Plastics,0.97,18.3,-17.1,24.06,33.2,-17.7
TAINWALCHM,89,Chemicals-Plastics,0.17,-95.4,-56.4,4.59,-8.6,2.5
POLYPLEX,88,Chemicals-Plastics,18.4,-34.2,1094.8,1721.16,-1,15.1
ESTER,83,Chemicals-Plastics,2.64,725,149.8,345.58,4.3,29
SPTL,81,Chemicals-Plastics,NA,NA,NA,NA,NA,NA
DDEVPLSTIK,75,Chemicals-Plastics,4.5,4.2,16.3,660.75,13.9,19.3
XPROINDIA,68,Chemicals-Plastics,3.36,-25.5,-36,104.55,-22,8.7
PYRAMID,55,Chemicals-Plastics,1.85,19.4,1.1,153.35,15.1,19.4
NILKAMAL,53,Chemicals-Plastics,14.4,-33.9,-26.9,854.28,4,6.3
TNPETRO,45,Chemicals-Plastics,1.3,150,124.1,460.28,2.4,33
GUJRAFFIA,30,Chemicals-Plastics,0.15,7.1,-60.5,6.1,10.5,-15.4
SUPREMEIND,19,Chemicals-Plastics,14.72,-9.5,-27.3,2509.88,10.4,2.5
CCCL,99,Civil Construction,-0.28,-124.1,98.2,52.17,-7.9,19.3
BGRENERGY,98,Civil Construction,-46.57,-74.6,51.3,66.05,-20,-71.9
ARSSINFRA,97,Civil Construction,-0.08,-115.1,99.2,19.55,-42,-74.1
SIMPLEXINF,97,Civil Construction,-1.96,-4.3,85.7,229.78,-14.3,-27.4
ANUP,96,Civil Construction,15.66,-3.3,52.2,170.87,-9.1,33
UNIVASTU,95,Civil Construction,2.67,-1.5,88,41.99,-1,39.8
SRM,95,Civil Construction,6.97,54.2,148,150.44,57.9,73.4
AGIIL,95,Civil Construction,7.81,-45.3,-36.5,91.41,17.8,25.4
ABINFRA,94,Civil Construction,0.99,19.3,NA,75.04,22.2,NA
ITDCEM,92,Civil Construction,5.07,20.7,8.8,2244.86,12.8,11.3
NAVKARURB,86,Civil Construction,0.04,300,0,8.61,NA,48.2
GARUDA,83,Civil Construction,1.38,0.7,NA,62.22,33,NA
SUPREME,82,Civil Construction,1.12,1.8,229.4,19.67,-15.1,39
HECPROJECT,79,Civil Construction,1.41,16.5,-62.8,27.54,37.2,60.4
NIRAJ,79,Civil Construction,0.51,-49.5,18.6,119.7,-13.3,-5.2
A2ZINFRA,77,Civil Construction,-0.03,-109.7,NA,84.56,7.8,-10.5
IL&FSENGG,76,Civil Construction,0.11,113.4,-84.1,67.91,3,44.2
KAUSHALYA,76,Civil Construction,15.88,-87.2,174.7,0.04,-20,-60
CAPACITE,75,Civil Construction,6.15,16.5,55.7,590.49,14,22.8
DBL,75,Civil Construction,7.88,-51,6.3,2589.69,5.2,-10
SPMLINFRA,75,Civil Construction,1.4,-36.4,366.7,186.27,-1.2,-26.2
TRANSRAILL,74,Civil Construction,6.94,57.4,NA,1357.56,24.8,NA
COUNCODOS,72,Civil Construction,0.02,-33.3,-80,4.9,-2,-21
PSPPROJECT,71,Civil Construction,1.53,-45.6,-83.2,623.21,7.8,-10.5
WELENT,70,Civil Construction,5.16,22,-1.3,866.87,9.9,22.6
RPPINFRA,67,Civil Construction,3.81,-0.5,-12,355.1,-9.9,9
JKIL,65,Civil Construction,13.18,10.6,20,1486.88,15,22
SUPREMEINF,64,Civil Construction,NA,NA,NA,NA,NA,NA
DENTA,64,Civil Construction,7.79,-38.2,NA,51.35,-47.6,NA
TICL,64,Civil Construction,0.11,450,175,15.07,22.1,86.3
AFCONS,62,Civil Construction,4.05,2,NA,3211.1,8.5,NA
LT,59,Civil Construction,24.43,-1.1,13.4,64667.78,5.1,17.3
INDIANHUME,57,Civil Construction,2.73,7.9,-7.8,380.62,7.4,19.5
GMRAIRPORT,52,Civil Construction,0.25,186.2,147.2,2653.24,6.3,19.2
EIEL,51,Civil Construction,2.09,-19.6,NA,247.45,16.1,NA
ASHOKA,50,Civil Construction,23.32,43.2,501,2387.89,-4.1,-10.1
HGINFRA,50,Civil Construction,17.67,42.5,12.3,1264.84,40.2,-7.3
RAMKY,49,Civil Construction,8.15,-27.9,52.9,459.09,-13,4.1
DBEIL,49,Civil Construction,3.49,-16.9,NA,130.55,7.1,NA
GAYAPROJ,47,Civil Construction,NA,NA,NA,NA,NA,NA
OMINFRAL,47,Civil Construction,0.48,17.1,-34.2,132.8,-44.3,-51.1
ATLANTAA,47,Civil Construction,1.13,638.1,197.4,1.62,-87.9,-88.9
NBCC,46,Civil Construction,0.51,13.3,-17.7,2826.96,15,16.6
TECHNOE,42,Civil Construction,8.25,1.9,-4.4,636.08,44.1,94.8
BFUTILITIE,41,Civil Construction,10.39,121.1,-8.5,221.38,3903.3,2041
KEC,41,Civil Construction,4.87,51.7,27.5,5349.38,4.6,6.8
DHRUV,40,Civil Construction,1.13,13,-38.9,21.99,-32.7,-3
CORALFINAC,38,Civil Construction,0.58,-58.9,-34.1,3.68,-43.9,3.4
LPDC,36,Civil Construction,0.01,103.4,-87.5,0.46,35.3,48.4
POWERMECH,34,Civil Construction,25.95,22.3,-33.5,1337.97,29.2,20.8
RKEC,34,Civil Construction,3.44,119.1,-24.4,118.98,54.8,1.4
KPIL,33,Civil Construction,8.31,7.5,-5.1,5732.48,16.3,17.1
VPRPL,33,Civil Construction,0.31,-83.8,-78.6,240.93,-28.1,-0.5
GPTINFRA,31,Civil Construction,1.7,21.4,-35.1,278.08,-3.3,9.6
USK,31,Civil Construction,0.27,135.5,-77.1,44.76,-41.5,-72.2
ENERGYDEV,29,Civil Construction,-16.08,-1265.2,-3754.5,8.07,-46.6,-12.9
MBECL,29,Civil Construction,-13.07,-25.6,-37.3,21.54,-20.1,-46.2
PATELENG,29,Civil Construction,0.94,6.8,-4.1,1205.52,2.7,13.6
AKASH,27,Civil Construction,0.04,103.6,103.4,13.87,50.4,157.8
BRNL,27,Civil Construction,20.2,2476.5,1234.8,231.67,203.8,137.5
MANINFRA,27,Civil Construction,2.23,84.3,-4.3,242.33,5.2,0.2
MBLINFRA,25,Civil Construction,-2.56,-228,-220,30.45,-7.6,-7.1
THEJO,24,Civil Construction,12.13,10.4,-25.2,135.58,1.6,-9.6
CEIGALL,24,Civil Construction,4.2,8.8,NA,830.54,7.6,NA
GEPIL,23,Civil Construction,-2.76,-127.7,-2223.1,316.9,45.7,-30.5
IRB,22,Civil Construction,9.98,5444.4,2395,2025.44,27.7,2.9
GENCON,20,Civil Construction,0.32,-17.9,-41.8,93.29,81.4,57.9
PNCINFRA,20,Civil Construction,3.17,-2.5,-56.4,1470.01,3,-28.2
RIIL,20,Civil Construction,1.81,-12.6,-24.6,12.36,0.9,-17.3
SETUINFRA,19,Civil Construction,NA,NA,NA,NA,NA,NA
WALCHANNAG,18,Civil Construction,-3.09,-55.3,22.2,59.07,-13,5.6
GRINFRA,17,Civil Construction,27.05,35.4,7.4,1694.5,21.5,-20.6
KNRCON,17,Civil Construction,8.84,-43.7,76.1,848.1,-56.4,-14.9
GAYAHWS,13,Civil Construction,-4.1,-118.1,-32.3,2.18,220.6,707.4
BLKASHYAP,12,Civil Construction,0.05,-88.4,-86.5,241.86,-9.5,-25.4
MADHUCON,11,Civil Construction,-57.22,-9436.7,-3410.4,111.44,-41.3,-59.6
AHLUCONT,10,Civil Construction,7.37,27.7,-30.6,951.96,-5.9,-7.3
SKIL,10,Civil Construction,NA,NA,NA,NA,NA,NA
KPEL,10,Civil Construction,3.77,15.3,158.2,203.47,3.5,151
JYOTISTRUC,9,Civil Construction,0.09,12.5,28.6,137.35,27.7,145.8
NCC,8,Civil Construction,3.08,18,-14.7,5344.52,2.9,1.6
TARMAT,8,Civil Construction,0.14,-22.2,16.7,26.14,67.6,14.6
KRYSTAL,8,Civil Construction,7.59,0.1,-2.4,276,3.8,-2.5
HCC,7,Civil Construction,-0.21,-155.3,-118.1,1006.81,-28.4,-31.7
SEPC,7,Civil Construction,0.03,50,-75,133.04,-22.2,-5.5
VASCONEQ,5,Civil Construction,3.34,626.1,271.1,294.79,47.5,5.2
MOLDTECH,4,Civil Construction,0.19,-93.2,-92.5,33.6,-22.1,-19.7
JPASSOCIAT,3,Civil Construction,-3.11,-161.3,-61.1,1491.07,8.5,-0.8
SADBHAV,1,Civil Construction,-1.56,-196.9,81.7,240.07,16.6,-20.2
SWSOLAR,0,Civil Construction,0.64,106.5,123.4,1837.2,78.3,215.2
NOIDATOLL,0,Civil Construction,-12.74,-4146.7,-3343.2,9.91,0,137.6
GENSOL,0,Civil Construction,4.45,-42.5,28.6,344.51,-0.6,56.4
KAPSTON,90,Commercial-Outsourcing,2.23,14.4,-18.3,182.2,8.4,32.9
YAARI,89,Commercial-Outsourcing,-0.55,1.8,-48.6,0,NA,100
AWFIS,88,Commercial-Outsourcing,2.14,-61.2,NA,317.72,8.7,44
OSWALAGRO,86,Commercial-Outsourcing,3.27,1943.8,32800,62.46,NA,NA
BLS,61,Commercial-Outsourcing,2.93,-13.1,37.6,512.85,3.6,17.1
NIITMTS,57,Commercial-Outsourcing,4.54,8.1,8.1,418.88,5.4,7
ENGINERSIN,33,Commercial-Outsourcing,1.93,8.4,60.8,764.59,11,-11.9
HGS,15,Commercial-Outsourcing,-0.57,94.1,-125.4,1064.05,-2.1,-11.6
QUESS,81,CommlSvcs-Staffing,5.41,-12,25.8,5519.07,6.6,14
AARVI,34,CommlSvcs-Staffing,1.6,11.9,-5.3,131.64,8.8,31.7
ACEINTEG,23,CommlSvcs-Staffing,-0.21,-2000,-250,1.43,-55.2,-41.9
TEAMLEASE,22,CommlSvcs-Staffing,16.95,15.6,-8.8,2921.27,4.4,19.5
TREJHARA,73,CompSftwr-SpecEnterprs,0.45,-41.6,-60.9,6.42,1.1,-0.2
NEWGEN,69,CompSftwr-SpecEnterprs,6.34,26.8,29.9,381,5.5,17.6
DRCSYSTEMS,64,CompSftwr-SpecEnterprs,0.27,8,-42.6,16.95,5,24.2
MAPMYINDIA,58,CompSftwr-SpecEnterprs,5.96,6.6,-1.5,114.54,10.5,24.3
AAATECH,29,CompSftwr-SpecEnterprs,0.43,-52.2,-64.8,6.94,57.4,24.6
CALSOFT,14,CompSftwr-SpecEnterprs,0.03,-40,-87.5,1.31,20.2,-1.5
PANACHE,99,Computer Hardware,1.33,-8.9,183,20.74,-11.6,35.5
REDINGTON,93,Computer Hardware,5.12,36.2,15.1,26716.08,7.3,13.7
DCI,77,Computer Hardware,2.99,9.5,56.5,134.19,3,31.5
TVSELECT,63,Computer Hardware,-0.35,50.7,59.3,100,-4.4,14.9
CEREBRAINT,12,Computer Hardware,-0.68,60,71.4,10.74,-12,-11
LCCINFOTEC,96,Computer Sftwr-Edu/Media IN,-0.04,50,-150,0.01,-75,-99.2
KAVVERITEL,99,Computer-Networking,1.1,358.3,1322.2,7.01,431.1,776.2
KERNEX,90,Computer-Networking,4.28,4.4,311.9,36.81,-10.7,339.3
DLINKINDIA,56,Computer-Networking,7.38,-0.7,16.2,329.73,-1.6,13
HCL-INSYS,54,Computer-Networking,-0.16,30.4,30.4,5.7,-16.2,-30.6
SHYAMTEL,53,Computer-Networking,-0.36,10,-56.5,0,-100,-100
NELCO,51,Computer-Networking,2.17,20.6,-19.6,80.72,-2.2,-3
MRO-TEK,37,Computer-Networking,1.13,8.7,-78.3,12.16,-5.9,-6.3
HFCL,22,Computer-Networking,0.51,-1.9,-22.7,1011.95,-7.5,-2
STLTECH,17,Computer-Networking,-0.49,-75,65.7,1261,-10.8,-4.6
BLSE,12,Computer-Networking,1.44,-9.4,19,127.63,65.3,77.9
TEJASNET,11,Computer-Networking,9.43,-41.3,457.2,2642.24,-6,371.8
VINDHYATEL,11,Computer-Networking,32.98,60.4,-43.2,1037.12,8.9,-4.3
SMARTLINK,8,Computer-Networking,2.55,275,321.7,53.73,-8.3,33.5
BIRLACABLE,7,Computer-Networking,0.52,-23.5,-60.9,157.8,-13.2,-2.6
POKARNA,98,Construction Products Miscallaneous,16.32,12.5,135.5,223.61,-11,35.8
PREMIERPOL,96,Construction Products Miscallaneous,0.64,-14.7,-69.7,61.87,-12.3,1.4
NITCO,94,Construction Products Miscallaneous,-91.87,-1814,-1426.1,84.63,28.1,5
REGENCERAM,84,Construction Products Miscallaneous,-1.45,-49.5,-57.6,3.96,216.8,594.7
GRASIM,73,Construction Products Miscallaneous,13.65,130.2,-38.9,34792.85,3.7,8.8
RAMCOIND,71,Construction Products Miscallaneous,10.24,427.8,230.3,343.68,-2.7,3
JISLJALEQS,70,Construction Products Miscallaneous,0.01,106.7,-95.7,1360.78,14.2,0.2
TIIL,70,Construction Products Miscallaneous,17.69,-41.3,-30.5,644.33,2.5,25.7
PPL,63,Construction Products Miscallaneous,9.66,-5,-0.8,192.5,-3.9,21.6
STYLAMIND,60,Construction Products Miscallaneous,17.94,-10.9,-3.3,254.52,-3.1,18.6
JISLDVREQS,57,Construction Products Miscallaneous,NA,NA,NA,NA,NA,NA
MADHAV,56,Construction Products Miscallaneous,-0.36,2.7,84.6,6.85,14.9,4.6
LEXUS,52,Construction Products Miscallaneous,0.04,104.3,102.2,19.13,10,-28.2
ORIENTALTL,42,Construction Products Miscallaneous,0.58,307.1,275.8,1.88,-5.1,526.7
ORIENTBELL,39,Construction Products Miscallaneous,0.66,0,129.6,163.02,1.6,0.4
EXXARO,35,Construction Products Miscallaneous,0.03,NA,-86.4,79.44,13.6,21.6
IKIO,33,Construction Products Miscallaneous,1.02,-39.3,-59.8,121.52,-2.8,3.9
RESPONIND,29,Construction Products Miscallaneous,1.76,-4.9,1.1,367.82,5.2,37.6
TEXMOPIPES,28,Construction Products Miscallaneous,1.72,95.5,83,109.84,71.5,-10.3
RHIM,25,Construction Products Miscallaneous,2.3,3.1,-9.8,1010.7,16.6,9.5
ASIANTILES,24,Construction Products Miscallaneous,0.02,-96.2,104.9,360.02,-6.2,-3
CERA,24,Construction Products Miscallaneous,35.26,-32.7,-10.1,449.27,-8.3,2.9
SAHYADRI,24,Construction Products Miscallaneous,0.69,-60.8,-76.9,130.69,23.3,-3.2
KAJARIACER,24,Construction Products Miscallaneous,4.88,-7.8,-26.5,1163.71,-1.3,1
HIL,23,Construction Products Miscallaneous,-47.05,-341.8,-397.9,805.25,4,2.7
AROGRANITE,21,Construction Products Miscallaneous,0,100,-100,30.12,5.2,-10
IFGLEXPOR,19,Construction Products Miscallaneous,-0.6,-117.9,-222.4,378.84,-7.9,3.4
ASTRAL,17,Construction Products Miscallaneous,4.25,3.7,-1.4,1397,1.9,1.9
MURUDCERA,16,Construction Products Miscallaneous,0.31,-31.1,-13.9,50.15,17,-1.8
SANCO,13,Construction Products Miscallaneous,-0.06,45.5,-50,0,-100,-100
SOMANYCERA,13,Construction Products Miscallaneous,2.27,-45.7,-57.2,644.86,-3.2,5.3
FINPIPE,12,Construction Products Miscallaneous,1.52,83.1,0.7,1001.24,20.9,-1.8
AHLADA,12,Construction Products Miscallaneous,0.27,-32.5,-87.4,26.06,-0.4,-34.7
CARYSIL,12,Construction Products Miscallaneous,4.4,-25.7,-23.9,203.12,-1.9,8
VISAKAIND,11,Construction Products Miscallaneous,-1.19,35.7,-65.3,350.96,14.2,2.1
KRITI,10,Construction Products Miscallaneous,-2.2,-205.6,-233.3,209.88,78.8,-13.6
BIGBLOC,9,Construction Products Miscallaneous,0.15,0,-88.4,56.82,10,-7.7
APOLLOPIPE,6,Construction Products Miscallaneous,1.36,34.7,NA,244.64,-2.3,NA
ELECTCAST,5,Construction Products Miscallaneous,2.59,2.8,-42.6,1776.66,-2.8,-5
TIJARIA,5,Construction Products Miscallaneous,-0.26,16.1,-85.7,0,-100,-100
FOCUS,4,Construction Products Miscallaneous,0,-100,-100,41.51,-8.6,-26.8
EVERESTIND,3,Construction Products Miscallaneous,-9.79,-32.8,-1759.3,371.03,-1.5,5.5
GSLSU,3,Construction Products Miscallaneous,-2.45,-63.3,-391.7,46.06,-2,14.8
PRINCEPIPE,3,Construction Products Miscallaneous,-1.85,-239.1,-153.3,577.72,-7.1,-6.6
NILASPACES,95,Construction Residential & Commercial,0.1,11.1,-73,33.02,3.3,-43.5
ATALREAL,94,Construction Residential & Commercial,0.09,-43.8,-35.7,20.12,-29.3,211
AJMERA,81,Construction Residential & Commercial,8.61,-12,-0.3,192.88,-3.6,-6.8
ASHIANA,69,Construction Residential & Commercial,1.08,245.9,-62.1,133.17,143.9,-28.1
EMAMIREAL,59,Construction Residential & Commercial,-5.14,-46.4,-16.8,57.22,847.4,135.7
SIGNATURE,43,Construction Residential & Commercial,2.07,613.8,762.5,827.69,10.5,193.6
RUSTOMJEE,39,Construction Residential & Commercial,1.2,-77.2,-55.9,464.02,-13,-10.9
SURAJEST,14,Construction Residential & Commercial,4.18,-41.9,10,169.85,55.7,60.1
KBCGLOBAL,4,Construction Residential & Commercial,0,100,-100,6.22,-33.8,240.7
PODDARHOUS,4,Construction Residential & Commercial,NA,NA,NA,NA,NA,NA
ZAGGLE,74,Consulting Services,1.51,0,11.9,336.44,11.2,68.6
REPL,71,Consulting Services,2.92,27,12.7,31.91,57.5,29.8
ADROITINFO,53,Consulting Services,0.22,22.2,-24.1,7.68,8.6,7.1
GTL,28,Consulting Services,-2.66,-543.3,-931.2,51.03,-27,17.3
INNOVANA,21,Consulting Services,5.7,6.9,3.6,28.92,26.3,11.2
MITCON,20,Consulting Services,0.19,-63.5,-77.4,22.31,-20,-7.9
TATATECH,13,Consulting Services,4.16,7.2,-1,1317.38,1.6,2.2
CARERATING,81,Credit Rating Agencies,9.29,-39.8,16.7,96.38,-17.9,22.4
ECLERX,76,Credit Rating Agencies,27.96,-2.3,-1.4,853.82,2.6,13.4
CRISIL,71,Credit Rating Agencies,30.72,30.9,6.7,912.91,12.4,-0.5
ICRA,67,Credit Rating Agencies,43.55,14.4,30.5,120.87,-4.2,5.4
RKSWAMY,53,Credit Rating Agencies,0.72,554.5,-42.9,76.79,16.9,6.3
DODLA,81,Dairy Products,10.54,0.2,50.1,901.22,-9.7,20.7
HERITGFOOD,45,Dairy Products,4.64,-11.6,60,1033.94,1.4,9.9
PARAGMILK,45,Dairy Products,3.02,22.8,0.7,884.72,1.5,10.5
HATSUN,43,Dairy Products,1.84,-36.6,-28.7,2009.75,-3,6.5
UMANGDAIRY,34,Dairy Products,0.4,181.6,5.3,61.21,24.6,-19.6
DANGEE,10,Dairy Products,0.01,200,-83.3,7.59,10,8.6
MALLCOM,79,Diversified Consumer Products,14.47,-10.6,31.3,117.74,-8.8,23.1
GMRP&UI,93,Diversified Operations,-1.49,-141.6,-279.5,1611.51,16.4,46.1
NAVA,91,Diversified Operations,8.63,-50.1,-61.9,842.49,-6.4,-9.4
GODREJIND,90,Diversified Operations,5.59,-34.5,73.6,4824.83,0.4,34.4
JUBLINGREA,88,Diversified Operations,4.36,17.8,73,1056.77,1.1,9.3
BANARISUG,87,Diversified Operations,22.98,-15.9,-57.7,421.43,-11,-45.1
GILLANDERS,86,Diversified Operations,6.11,-39.3,158.6,127.64,0.7,25.7
ASPINWALL,63,Diversified Operations,6.17,27.7,79.4,89.77,21.2,4.2
AUSOMENT,58,Diversified Operations,0.12,-91.5,-84,0.2,5.3,-99.9
3MINDIA,57,Diversified Operations,100.99,-15,-8.8,1089.95,-1.9,15.7
DVL,56,Diversified Operations,26.7,37.8,633.5,126.37,-14.8,122.2
ROSSARI,54,Diversified Operations,5.73,-10.3,-8,512.73,2.9,10.5
UDS,44,Diversified Operations,4.61,9.5,47.8,694.89,2.2,9.2
SIEMENS,40,Diversified Operations,17.25,-26.1,32,3587.2,-44.5,-19.1
SIS,38,Diversified Operations,7.08,48.4,173.4,3362.51,2.9,9.4
BALMLAWRIE,24,Diversified Operations,3.77,2.7,-5.5,630.41,-1.3,7.8
CARTRADE,98,E- Commerce,9.01,53,276.7,176.22,14.3,27.1
ZOMATO,75,E- Commerce,0.06,-70,-62.5,5405,12.6,64.4
INDIAMART,40,E- Commerce,20.16,-10.5,47.7,354.3,1.9,16
DIGIDRIVE,28,E- Commerce,0.31,342.9,342.9,14.39,29.2,8.2
ISFT,25,E- Commerce,1.66,-31.1,6.4,128.34,2.2,4.3
SWIGGY,24,E- Commerce,-3.57,94.3,NA,3993.07,10.9,NA
FIRSTCRY,11,E- Commerce,-0.15,84.5,NA,2172.31,14,NA
MSTCLTD,6,E- Commerce,35.63,344.3,397.6,81.14,12.8,-56.2
RTNINDIA,5,E- Commerce,-1.23,29.7,-186.6,1921.49,6.7,16.2
UNIECOM,4,E- Commerce,0.65,44.4,NA,29.47,0.4,NA
GOKULAGRO,92,Edible Oils & Solvent Extraction,4.92,1.7,107.6,4988.22,3.7,49.4
NKIND,83,Edible Oils & Solvent Extraction,-0.72,5.3,-176.9,3.86,-54.1,-14.2
ATFL,81,Edible Oils & Solvent Extraction,1.6,5233.3,44.1,208.3,1.1,8
SRPL,78,Edible Oils & Solvent Extraction,-0.11,59.3,NA,0,-100,-100
GOKUL,76,Edible Oils & Solvent Extraction,0.06,-88.7,-76,1006.76,17.6,24.7
SANWARIA,62,Edible Oils & Solvent Extraction,-0.02,0,NA,0.26,-55.2,NA
ROML,58,Edible Oils & Solvent Extraction,0.37,0,-11.9,30.55,0.1,-14.4
KRITINUT,48,Edible Oils & Solvent Extraction,1.65,-14.1,-43.1,172.92,-0.4,3.6
SHANTI,31,Edible Oils & Solvent Extraction,-2.15,-497.2,-451.3,17.84,774.5,737.6
GAEL,26,Edible Oils & Solvent Extraction,1.57,2.6,-30.2,1130.88,0.6,-13.1
AVTNPL,22,Edible Oils & Solvent Extraction,1.42,238.1,-7.2,172.87,41.9,12.1
BCLIND,22,Edible Oils & Solvent Extraction,0.65,-31.6,-46.7,735.43,2,18.2
MKPL,15,Edible Oils & Solvent Extraction,0.04,-20,-71.4,39.48,17,-42.7
VERANDA,85,Education Services,-27.15,-543.4,-1021.9,99.15,-28.5,7.9
CAREERP,76,Education Services,7.29,2.7,-12.6,26.85,1.5,1
UMESLTD,57,Education Services,0.06,500,-50,0.12,-40,-66.7
ZEELEARN,53,Education Services,-0.11,8.3,-210,74.74,28.4,10.2
NIITLTD,47,Education Services,0.99,13.8,-13.2,98.11,8.1,15.1
CLEDUCATE,39,Education Services,-0.49,-175.4,-176.6,70.54,-28.5,6.1
MTEDUCARE,39,Education Services,-0.74,40.8,22.1,12.06,4.4,10.1
COMPUSOFT,38,Education Services,0.04,-69.2,-81,8.11,-5.7,-64.4
TREEHOUSE,17,Education Services,-0.18,-12.5,-190,1.88,-11.7,-14.2
EDUCOMP,14,Education Services,-1.81,NA,-1031.2,0.81,NA,-14.7
APTECHT,10,Education Services,0.62,-35.4,-49.6,110.21,-12.9,9.4
GLOBAL,7,Education Services,1.2,-42,-67.9,16.7,-28.8,-4.1
GTECJAINX,5,Education Services,-2.81,-14150,-2441.7,1.37,-38.3,-33.8
HIRECT,78,Elec-MiscProducts,5.83,-2,520.2,168.94,1.9,23.6
TRITURBINE,73,Elec-MiscProducts,2.91,1.7,29.9,503.4,0.5,16.6
