Stock Name,Quarterly Results Date,QoQ % Net Profit Latest,QoQ % EPS Latest,YoY% EPS Latest,QoQ % Sales Latest,YoY % Sales Latest
WSTCSTPAPR,13/02/2025,-33,-28,-52.9,-2.8,-2.8
XELPMOC,13/02/2025,-91.7,-77.2,-359.3,-49.7,-30.8
YUKEN,13/02/2025,-36.1,-36,-20.8,-7.7,-0.6
ZENITHSTL,13/02/2025,52.4,66.7,-150,18.6,-22.2
ZOTA,13/02/2025,-56,-54.6,-531.5,7.2,53.4
ZUARIIND,13/02/2025,-71.5,-72,-103.4,-0.9,102.9
63MOONS,12/02/2025,3.4,11.7,-117.9,-69.4,-92.7
A2ZINFRA,12/02/2025,-167.2,-109.7,NA,7.8,-10.5
AARTECH,12/02/2025,9.8,9.6,-9.5,1.1,29.2
AEGISLOG,12/02/2025,4.9,-1.4,-6.6,-2.5,-8.9
AHLEAST,12/02/2025,58.9,58.5,158.3,41.1,0.8
AIROLAM,12/02/2025,139.2,139,-49.3,5.4,-4.2
ALBERTDAVD,12/02/2025,-151.8,-152,-150,-15.6,-5.9
ALMONDZ,12/02/2025,-9.7,-12.5,-98.1,-2.4,10
AMRUTANJAN,12/02/2025,62.7,63.2,9.2,11.6,4.8
ANMOL,12/02/2025,-64.2,-63.2,-91.7,36.3,-37.3
ARTNIRMAN,12/02/2025,-50.9,-50,22.2,-46.9,17.8
ARVEE,12/02/2025,-85.1,-84.3,-54.8,-29.1,14.7
ASHOKLEY,12/02/2025,6.9,7.5,30.2,7.6,8.1
ASIANENE,12/02/2025,-11.6,-11.5,-45.2,-6.2,-3.4
ATLANTAA,12/02/2025,653.6,638.1,197.4,-87.9,-88.9
AVG,12/02/2025,2,-3.9,-11.7,2.8,14
AVTNPL,12/02/2025,241.8,238.1,-7.2,41.9,12.1
BAGFILMS,12/02/2025,125.4,66.7,-28.6,-9.8,33.9
BAJAJHIND,12/02/2025,-35.2,-35.6,-463.6,27.3,-15.2
BALAMINES,12/02/2025,-24.9,-19.1,-33.1,-9.9,-18.4
BBTC,12/02/2025,21.6,34.1,-25.9,-1.6,8
BEDMUTHA,12/02/2025,-80.2,-80.3,-68.8,8.8,42.7
BGRENERGY,12/02/2025,-74.4,-74.6,51.3,-20,-71.9
BHARATFORG,12/02/2025,-12.6,-15.1,-22.7,-5.8,-10.1
BIL,12/02/2025,-119.7,-119.7,51.6,-11.1,32.5
BLUECHIP,12/02/2025,-175,NA,-114.3,-100,-100
BPL,12/02/2025,-92.5,-92.9,-84.6,-7.8,33.2
CARYSIL,12/02/2025,-26.9,-25.7,-23.9,-1.9,8
CELEBRITY,12/02/2025,18.8,17.8,-475,-3.1,-47
CHEMCON,12/02/2025,38.5,38.5,89.8,3.3,2.5
COASTCORP,12/02/2025,254.5,-23.7,-87.3,18.6,71.4
CREST,12/02/2025,-19,-18.8,16.4,24.1,-14.9
CROMPTON,12/02/2025,-12.6,-11.9,23,-6.7,4.5
DANGEE,12/02/2025,168.2,200,-83.3,10,8.6
DBREALTY,12/02/2025,107.1,103.8,-99.1,316.6,130.6
DCAL,12/02/2025,-86,-85.8,108,-13.5,4.8
DCMSRIND,12/02/2025,2.4,2.3,-21.1,-7.5,5.3
DHUNINV,12/02/2025,8,-7.8,924.9,-13.4,89.5
DMCC,12/02/2025,35.6,35.6,1336.4,14.9,46.5
DOLLAR,12/02/2025,-26.5,-26.4,7.2,-15.3,14.6
DTIL,12/02/2025,-103.7,-103.7,97.8,-26.9,6.1
ECOSMOBLTY,12/02/2025,-19,-19,NA,5.4,NA
EKC,12/02/2025,-53.5,-53.2,-51.5,-0.1,11.4
ELDEHSG,12/02/2025,27.7,27.9,-29.5,3.7,59.9
EMMBI,12/02/2025,-0.6,-4,-32.1,0.3,13.8
ENDURANCE,12/02/2025,-9.2,-9.2,20.3,-1.8,11.6
ENTERO,12/02/2025,13,7.7,35.4,4.5,36.9
FAIRCHEMOR,12/02/2025,-13.1,-12.6,-71.7,-18.1,-23.4
FCL,12/02/2025,-13.2,-13.3,-20.5,-13.6,-9.1
FDC,12/02/2025,-48.6,-48.5,-53.9,-9.7,1.3
FIEMIND,12/02/2025,-6.4,-6.3,15.4,-3.2,21.7
FINCABLES,12/02/2025,-15.2,-15.2,-3.8,-9.9,-3.2
FMGOETZE,12/02/2025,-24.9,-24.3,16.1,-6.6,4.4
FUSION,12/02/2025,-135.8,-135.8,-664.2,-31.5,-20.1
GALAPREC,12/02/2025,1.3,1.7,NA,13.4,NA
GANESHBE,12/02/2025,9.6,9.3,-5.9,1.2,-6.9
GAYAHWS,12/02/2025,-117.2,-118.1,-32.3,220.6,707.4
GENUSPAPER,12/02/2025,235,200,-71.4,0.9,49.3
GEPIL,12/02/2025,-127.8,-127.7,-2223.1,45.7,-30.5
GFLLIMITED,12/02/2025,113,113.1,100,-4.7,1.2
GFSTEELS,12/02/2025,-7.1,-25,NA,-100,-100
GKWLIMITED,12/02/2025,-564.6,-566.6,-584.5,-90.6,-86.7
GLFL,12/02/2025,0,100,-81.8,-100,-100
GLOBUSSPR,12/02/2025,-74.5,-64.8,-98.8,-5.6,-12.4
GODREJIND,12/02/2025,-36.1,-34.5,73.6,0.4,34.4
GPIL,12/02/2025,-9,-9.6,-87.3,2.4,-0.9
GRAPHITE,12/02/2025,-110.8,-110.2,-203,-18.7,-24.2
HAL,12/02/2025,-3.9,-3.9,13.8,16.4,14.8
HBSL,12/02/2025,-7250,-9005.6,-189.4,-316.3,-128.7
HEMIPROP,12/02/2025,-15.4,-14.3,-900,-4,9.1
HIMATSEIDE,12/02/2025,0.5,-20.9,-46.3,-0.4,-4.4
HITECH,12/02/2025,7.8,-5.7,-14.6,2,0.6
HONASA,12/02/2025,245,243.5,-32.7,12.7,4.3
HPAL,12/02/2025,-5,-6.5,-34.8,11.6,19.9
HPL,12/02/2025,-16.3,-16.4,44.1,-7.1,7.3
ICDSLTD,12/02/2025,-214.9,-218,-6000,-5.6,-15
IFCI,12/02/2025,-104.7,-137.5,-192.3,-25.9,0.7
IIFL,12/02/2025,187.8,125.8,-91.7,-5,-7.8
IMAGICAA,12/02/2025,149,150,-68.4,129.5,35.8
INDIANCARD,12/02/2025,-103.2,-103.2,68.9,-6.1,-16.8
INDIANHUME,12/02/2025,8,7.9,-7.8,7.4,19.5
INDOWIND,12/02/2025,-101.6,-100,-100,-40.7,-19.1
INDTERRAIN,12/02/2025,84.2,84.7,9.6,12.8,-11.4
INNOVANA,12/02/2025,6.7,6.9,3.6,26.3,11.2
IOLCP,12/02/2025,7.1,7,-12.9,-0.5,0.5
ITDCEM,12/02/2025,20.5,20.7,8.8,12.8,11.3
JASH,12/02/2025,115.1,118.7,-70.4,29.4,29.8
JINDWORLD,12/02/2025,6.2,-79.3,-84.2,9.4,42.6
JUBLFOOD,12/02/2025,-35,-33,-39.8,10,56.1
KAMDHENU,12/02/2025,-21.7,-92.1,-89.3,-8,12.8
KCP,12/02/2025,-68.4,-73.9,-77.5,-0.3,-22.7
KECL,12/02/2025,-88.9,-88.5,-71.9,-25.9,-5.1
KEEPLEARN,12/02/2025,0,0,-88.9,3.4,41.6
KIRLOSBROS,12/02/2025,22.5,22.5,42.3,10.5,18.6
KOKUYOCMLN,12/02/2025,60.7,61.3,-165.1,-6.9,-4.5
KRSNAA,12/02/2025,-1.9,-1.6,56.3,-7.6,8.9
KSCL,12/02/2025,1806.9,2600,36.4,26.6,22
LANDMARK,12/02/2025,3180.6,NA,-39.3,31.7,24.6
LGHL,12/02/2025,-14.1,-13.7,-40.1,0.3,-18
LIBERTSHOE,12/02/2025,154.8,152.7,768.8,-6.8,5.2
LOTUSEYE,12/02/2025,-271.4,-300,-130.8,-5.5,1.2
LOYALTEX,12/02/2025,48.3,48.3,-1119.7,-16.3,-37.4
MANAKALUCO,12/02/2025,-4.1,-3.8,-10.7,-7.2,34.9
MANAKCOAT,12/02/2025,105.7,106.1,-1.4,17.2,7.4
MANAKSIA,12/02/2025,-13.2,-12.9,-23.5,10.8,23.3
MANAKSTEEL,12/02/2025,134.2,127.8,-49.4,36.2,6.5
MANINDS,12/02/2025,7.1,7.1,1.7,-9.2,-12.1
MARINE,12/02/2025,-62.6,-59.1,-24,5.3,32.1
MASTERTR,12/02/2025,-4.7,-4.6,19.5,-3.8,19.2
MAZDA,12/02/2025,-17.8,-83.5,-82.1,-17.7,-13.5
MOLDTECH,12/02/2025,-93.3,-93.2,-92.5,-22.1,-19.7
MUFIN,12/02/2025,5.8,2.8,-7.5,6.8,58.8
MUKTAARTS,12/02/2025,47.5,47.5,-9700,15.1,-10.8
MUTHOOTFIN,12/02/2025,8.9,8.9,32.3,7.4,39.6
NACLIND,12/02/2025,-342.5,-339.5,-156.3,-39.2,-26.7
NAGREEKCAP,12/02/2025,-35.8,-35.2,-60.7,-70.8,-71.6
NATCOPHARM,12/02/2025,-80.4,-80.3,-37.8,-65.4,-37.4
NAVKARURB,12/02/2025,405.6,300,0,NA,48.2
NCLIND,12/02/2025,24.9,25.4,-86.8,3.3,-32.4
NIBE,12/02/2025,NA,NA,NA,NA,NA
NINSYS,12/02/2025,1.2,1.9,70.7,2.3,21.3
NIRAJISPAT,12/02/2025,10.8,17,82.1,-24.8,9.7
NITCO,12/02/2025,-1808,-1814,-1426.1,28.1,5
NITIRAJ,12/02/2025,12920,21066.7,195.3,194.8,82.4
ORCHPHARMA,12/02/2025,-23.8,-23.8,-30,-2.4,-1.5
ORTINGLOBE,12/02/2025,74.4,75.9,95.8,-57.1,-84.2
PASUPTAC,12/02/2025,267,267.7,4.6,39.7,11.3
PATELENG,12/02/2025,11,6.8,-4.1,2.7,13.6
PGHL,12/02/2025,10.4,10.4,25.9,-1.2,-0.1
PNGJL,12/02/2025,163.1,161.7,NA,20.2,NA
PODDARMENT,12/02/2025,-4.1,-3.5,-31.3,-1.9,0.2
PRAXIS,12/02/2025,-230.6,-226.3,56,28.7,-47
PRECAM,12/02/2025,-175.5,-176.1,-125.4,-13.6,-24.5
PRECOT,12/02/2025,-12.5,-12.3,3.8,-1.6,9.5
PRECWIRE,12/02/2025,-1.7,-1.9,-2.8,-5.9,22
PREMEXPLN,12/02/2025,9.3,9.6,6.9,75.4,271.8
PREMIER,12/02/2025,0,1.6,17.1,-100,-100
PRITIKAUTO,12/02/2025,-58.3,-57.8,-24,-6,13.7
PRIVISCL,12/02/2025,-0.9,-0.5,37.7,-7.9,22.4
PTC,12/02/2025,-22.5,-27.5,93.5,-33.3,-0.2
PVSL,12/02/2025,-228.4,-229.2,-152.7,-9.8,-3.7
RATNAMANI,12/02/2025,34,30.8,-1.5,35.5,4.7
RCF,12/02/2025,1.6,1.4,400,5.3,-7.9
REDTAPE,12/02/2025,191.3,-27.1,-70.5,59.8,7.6
RELCHEMQ,12/02/2025,-86.8,-86.7,66.7,0.6,7.8
REPCOHOME,12/02/2025,-5.3,-5.3,6.8,5,12.5
REPRO,12/02/2025,126.8,126.8,-71.3,20.3,8.6
RICOAUTO,12/02/2025,-72.2,-70.2,-83.1,-4.2,5.4
RKEC,12/02/2025,118.5,119.1,-24.4,54.8,1.4
RKSWAMY,12/02/2025,536.8,554.5,-42.9,16.9,6.3
ROHLTD,12/02/2025,139.6,137.7,14.3,26.8,9
ROTO,12/02/2025,-65.2,-65.4,-69.6,-14.1,28.2
RPTECH,12/02/2025,-54.1,-54.4,NA,-23.7,7.7
RSWM,12/02/2025,47.3,47.5,72.5,2.5,22.3
RUBFILA,12/02/2025,8.4,8,101.7,-13.1,13.7
RVHL,12/02/2025,-2200,-1800,9.5,-12.5,-33.3
S&SPOWER,12/02/2025,-235.7,-241.7,-194.5,-27.9,-15.5
SADBHIN,12/02/2025,-85.6,-110.9,96.8,6.4,-14.6
SALONA,12/02/2025,-28.8,-28.1,6.8,-4.7,-23.3
SALSTEEL,12/02/2025,-855.6,-500,65.2,56.9,49.6
SANDHAR,12/02/2025,-25.2,-25.1,16.1,-1.1,9.5
SANGAMIND,12/02/2025,-49.3,-49.5,-48.6,11.7,18.5
SANSTAR,12/02/2025,NA,NA,NA,NA,NA
SARVESHWAR,12/02/2025,-13.1,-22.2,-36.4,4,23
SBCL,12/02/2025,-8.6,-8.4,11.6,-2.7,9.8
SETCO,12/02/2025,1.1,0,-23.6,10.9,7.4
SGLTL,12/02/2025,-55.8,-57.1,NA,-54.4,NA
SHAHALLOYS,12/02/2025,66,66,91,-21.8,-64.2
SHK,12/02/2025,-56,-55.9,-46.4,0.1,9.5
SHRIRAMPPS,12/02/2025,1806.6,1620,-33.3,-13.8,-45.2
SIEMENS,12/02/2025,-26.1,-26.1,32,-44.5,-19.1
SILINV,12/02/2025,-17.7,-15.5,25,-9.8,5.2
SKFINDIA,12/02/2025,16.2,16.2,-17.3,1,15
SMSLIFE,12/02/2025,45.9,17,26.6,7.8,17.3
SMSPHARMA,12/02/2025,20.2,20.8,32.7,-11.9,7.3
SREEL,12/02/2025,-3.7,-3.9,-11.5,-11.6,-4.9
STALLION,12/02/2025,-42.4,-41.1,NA,-39.6,NA
STANLEY,12/02/2025,55.6,51,NA,6.5,2.1
STARPAPER,12/02/2025,-47,-46.9,-48.2,-12.1,-15.1
SUBEXLTD,12/02/2025,-615.9,-700,-200,-2,-11.2
SUPRAJIT,12/02/2025,6582,7933.3,-19.9,-0.2,14.8
SUVENPHAR,12/02/2025,1.6,0.9,69.8,19.2,39.7
SWELECTES,12/02/2025,-217.4,-230.8,-233.5,-53.8,43.7
TAKE,12/02/2025,NA,NA,3677.8,NA,-100
TBOTEK,12/02/2025,-16.9,-17,-8,-6.3,29.1
TECILCHEM,12/02/2025,0,NA,NA,-100,-100
THOMASCOTT,12/02/2025,5.3,5.6,-9.2,11.5,109.2
TIJARIA,12/02/2025,15.9,16.1,-85.7,-100,-100
TIMESGTY,12/02/2025,9.4,12.3,6.7,-5.6,-2.3
TOUCHWOOD,12/02/2025,722.5,828.1,165.2,809.6,448
TRANSWORLD,12/02/2025,-28.3,-28.2,179.3,-6.2,63
TVSSRICHAK,12/02/2025,-158.7,-157.9,-124.7,-4.6,11.7
UNITEDPOLY,12/02/2025,1.4,1.9,150,-4.1,-37
UNIVPHOTO,12/02/2025,-142.6,-142.6,-28.3,-21.7,-35.3
VENTIVE,12/02/2025,NA,NA,NA,NA,NA
VIJAYA,12/02/2025,-16.3,-16.1,30.9,-7.7,27.3
VINEETLAB,12/02/2025,-217.2,-211.1,-181.4,-4.8,-44.7
VIPCLOTHNG,12/02/2025,135.3,120,168.8,5.7,39.3
VISASTEEL,12/02/2025,-318.4,-313.9,26.6,-21.2,32.3
VISESHINFO,12/02/2025,NA,NA,NA,NA,NA
VISHWARAJ,12/02/2025,102.9,103,-98.3,0.4,-12.3
VRAJ,12/02/2025,-20.1,-20.1,-29.6,36.9,48.6
WANBURY,12/02/2025,-84.9,-84.9,-88.6,-17.2,-8.3
WSI,12/02/2025,-710.6,-711.5,-223.1,5.6,-40.6
ZENITHEXPO,12/02/2025,132.5,132,542.9,15.1,0.8
AARON,11/02/2025,-2.2,-1.7,38.7,0,24.6
ABAN,11/02/2025,-139.9,-139.9,15.3,0.9,23.3
AHLUCONT,11/02/2025,27.6,27.7,-30.6,-5.9,-7.3
ALPHAGEO,11/02/2025,-568.2,-541.9,-295.1,-40.4,-71.6
AMBIKCO,11/02/2025,1.3,1.5,9.3,-22,-20.4
ANDHRSUGAR,11/02/2025,-108.3,-82.4,-92.4,-3.3,13.2
ASHIANA,11/02/2025,245,245.9,-62.1,143.9,-28.1
ASTRAZEN,11/02/2025,-19.8,-19.8,93.4,7.9,44
AWFIS,11/02/2025,-60.8,-61.2,NA,8.7,44
BAIDFIN,11/02/2025,138.9,143.8,0,8.5,21.2
BAJAJHCARE,11/02/2025,23.6,23.7,622.5,-7.8,13
BALAJITELE,11/02/2025,-354.8,-307.1,-1550,-35.4,-32.6
BALKRISHNA,11/02/2025,40.8,41.7,53.3,1200,-65.1
BBOX,11/02/2025,9.6,8.5,32.9,0.3,-9.3
BINANIIND,11/02/2025,22,29.4,90.7,-100,-100
BIOFILCHEM,11/02/2025,166.7,400,-37.5,482,179.5
BLS,11/02/2025,-12.2,-13.1,37.6,3.6,17.1
BOROSCI,11/02/2025,-51.6,-51.5,-47.8,-1.1,1.7
BRNL,11/02/2025,1738,2476.5,1234.8,203.8,137.5
BSOFT,11/02/2025,-8.3,-8.2,-28.5,-0.4,1.5
BYKE,11/02/2025,101.9,122.2,-41.2,27.2,23.4
CAMPUS,11/02/2025,223.8,216.7,65.2,54.5,9
CELLO,11/02/2025,6.6,5.7,-4.4,13.6,5.6
CENTENKA,11/02/2025,-33.6,-33.6,195.5,-8,9.5
CENTEXT,11/02/2025,2.5,0,-3.1,-2.8,8.4
CERA,11/02/2025,-32.7,-32.7,-10.1,-8.3,2.9
CONSOFINVT,11/02/2025,-67.7,-67.8,50.2,-15.4,-2.2
COSMOFIRST,11/02/2025,-35.4,-35.4,154.8,-7.7,12.1
COUNCODOS,11/02/2025,-16.7,-33.3,-80,-2,-21
CSLFINANCE,11/02/2025,-6.3,-6.1,-0.8,-1.3,17.4
CYBERMEDIA,11/02/2025,-15300,-19500,-897.3,15,-4.7
DALMIASUG,11/02/2025,-10.1,-10.1,-9.1,-9.2,44.1
DECCANCE,11/02/2025,120.1,120.1,-94.8,-4.2,-46.8
DELTAMAGNT,11/02/2025,-100.3,-98.2,-149.5,-23.3,-26.5
DEVYANI,11/02/2025,-56.6,NA,-100,5.9,53.5
DOLATALGO,11/02/2025,-44,-44.2,-12.8,-21.7,59
EIDPARRY,11/02/2025,-29.8,-36.3,63.5,-6.5,12.2
EIHOTEL,11/02/2025,110.1,102.4,17.5,35.8,7.9
ELECTHERM,11/02/2025,48.4,48.6,-17.6,32.9,-4.9
EPL,11/02/2025,6.5,7.3,4.6,-6.6,4
FAZE3Q,11/02/2025,23.3,23.2,-24.2,14.4,31.6
GENSOL,11/02/2025,-22.2,-42.5,28.6,-0.6,56.4
GICHSGFIN,11/02/2025,35.9,36,38.2,2,3.1
GIPCL,11/02/2025,12.8,12.6,-17.5,16.6,-8.9
GLOBALE,11/02/2025,-296.2,-292,NA,-32.3,NA
GOKULAGRO,11/02/2025,1.4,1.7,107.6,3.7,49.4
GOPAL,11/02/2025,-81.6,-81.5,-71.3,-2.3,7.1
GPTHEALTH,11/02/2025,-17.6,-17.7,-0.7,-3.3,5.8
GUJALKALI,11/02/2025,38.1,38.3,90.2,3.9,11.8
HEADSUP,11/02/2025,-13.3,0,146.2,650,114.3
HEG,11/02/2025,1.3,1.4,-62.1,-15.7,-14.9
HINDNATGLS,11/02/2025,-155.2,-155.1,-114.8,-3.9,-32.4
HLVLTD,11/02/2025,192.6,220,-33.3,33,4.1
HUHTAMAKI,11/02/2025,-0.3,-0.6,-96.4,-5.1,2.5
ICIL,11/02/2025,-7.5,-7.5,27,11.2,61.4
IDEA,11/02/2025,7.9,7.8,31.2,1.7,4.2
IGARASHI,11/02/2025,-33.9,-33.9,173.3,-2.4,21.3
IIFLCAPS,11/02/2025,-4,-4.4,28.5,-9.7,4.2
IL&FSENGG,11/02/2025,113.9,113.4,-84.1,3,44.2
INDOAMIN,11/02/2025,-18.1,-17.9,13.5,-3.9,33.5
INDOBORAX,11/02/2025,-1.4,-1.4,6.8,-1.1,-15
INDOTECH,11/02/2025,8.6,8.7,79.3,21.2,27.1
INDOUS,11/02/2025,14.8,16.1,32.6,6.1,6.2
INDSWFTLTD,11/02/2025,-232.5,-234.2,61.7,-11.9,17
IRCON,11/02/2025,-58.2,-58.2,-65.7,6.8,-9.4
IRCTC,11/02/2025,10.8,10.6,11.2,15.1,9.5
JAIBALAJI,11/02/2025,-21.4,-84.3,-91,-4.5,-3.4
JCHAC,11/02/2025,88.9,88.9,87.5,8.9,44.1
JHS,11/02/2025,82.2,82.5,-520,15,57.8
JINDALPHOT,11/02/2025,-80.3,-80.3,-72.7,-42.2,-5.9
JPOLYINVST,11/02/2025,-76.1,-76.1,-66.9,-1.9,4.1
JUNIPER,11/02/2025,209.2,208.8,385.7,0.7,-8.5
KALYANIFRG,11/02/2025,-53.8,-53.7,18.2,-6,-2
KANANIIND,11/02/2025,787.5,300,-42.9,-56,-5.4
KHADIM,11/02/2025,-50.8,-50.4,-42.2,-0.3,2.5
KILITCH,11/02/2025,-35,-30.8,94.2,18.3,76.2
KINGFA,11/02/2025,-7.2,-7.1,42,5.3,11.8
KIRLOSENG,11/02/2025,-45.7,-44.2,-21.9,-3.1,4.6
KMEW,11/02/2025,-33.6,-33.5,NA,-39.8,NA
KOLTEPATIL,11/02/2025,153.7,158.1,140.6,13.4,361
KOPRAN,11/02/2025,40.4,41.2,-36.1,9.7,4.5
KRITI,11/02/2025,-207.6,-205.6,-233.3,78.8,-13.6
KRITINUT,11/02/2025,-14.2,-14.1,-43.1,-0.4,3.6
KUANTUM,11/02/2025,-29.9,-30.2,-51,-3.2,-10.4
LANCORHOL,11/02/2025,-153.6,-152.8,-200,-20.1,47
LPDC,11/02/2025,103.4,103.4,-87.5,35.3,48.4
LUPIN,11/02/2025,-0.1,0.2,38.4,1.7,11
MADRASFERT,11/02/2025,4564.4,4530,247.9,50.2,43.8
MAGADSUGAR,11/02/2025,291.7,294,-45.8,-12.4,29.8
MAITHANALL,11/02/2025,-36.7,-36.9,6.2,14.4,18.5
MAMATA,11/02/2025,NA,NA,NA,NA,NA
MANUGRAPH,11/02/2025,75,75,-47.1,-48.5,-72.4
MARKSANS,11/02/2025,7.4,8.5,20.9,6.2,16.3
MBECL,11/02/2025,-25.6,-25.6,-37.3,-20.1,-46.2
MEDICAMEQ,11/02/2025,217.4,137.4,21.3,0.8,-3
MEGASTAR,11/02/2025,-67.3,-66.9,-69.5,4.5,22
MELSTAR,11/02/2025,NA,NA,NA,NA,NA
MFML,11/02/2025,-166.9,-167.3,NA,-18.2,NA
MHLXMIRU,11/02/2025,54.4,55.3,133.3,5.7,25.5
MOHITIND,11/02/2025,NA,NA,-100,NA,-0.2
MOIL,11/02/2025,27.4,27.2,13.8,25.7,19.7
MONTECARLO,11/02/2025,1088.8,1091.5,21.7,149.8,8.8
NBCC,11/02/2025,13.8,13.3,-17.7,15,16.6
NBIFIN,11/02/2025,-90.4,-90.3,-5.5,-88.8,-41
NDRAUTO,11/02/2025,11.9,11.9,-22.3,0.5,24.9
NIRAJ,11/02/2025,-45.5,-49.5,18.6,-13.3,-5.2
NOVAAGRI,11/02/2025,54.8,56.2,-26.9,6.6,12.3
NRAIL,11/02/2025,51.9,52.3,-59.6,-2.5,24.5
OCCLLTD,11/02/2025,-30.5,-30,NA,-6.7,NA
ONEPOINT,11/02/2025,0.4,0,-13.2,5.1,56.8
OPTIEMUS,11/02/2025,9.1,9.4,-19.4,-1.1,-2.1
PGHH,11/02/2025,26.7,26.7,17.2,9.9,10.1
PGIL,11/02/2025,-13.3,-4,47.9,-14.9,45.2
PRINCEPIPE,11/02/2025,-238.6,-239.1,-153.3,-7.1,-6.6
PROZONER,11/02/2025,802.3,162.5,0,-8.3,8.1
QUINTEGRA,11/02/2025,-200,NA,-112.5,-100,-100
RACE,11/02/2025,-66.1,-66,86,21.1,76.9
RAJRILTD,11/02/2025,290.9,287.5,15.4,8.2,17.3
RAMKY,11/02/2025,-28,-27.9,52.9,-13,4.1
RBZJEWEL,11/02/2025,61.6,61.1,85.8,66.2,67.3
RENUKA,11/02/2025,-782.6,-860,-35.2,1.4,-13.6
RETAIL,11/02/2025,-300,-213.3,-191.9,18.2,34.7
RHFL,11/02/2025,-107.1,-107.1,20,NA,NA
RHIM,11/02/2025,3.5,3.1,-9.8,16.6,9.5
RITCO,11/02/2025,13.4,13.9,23.3,12.1,30.9
RKDL,11/02/2025,-60,-66.7,102.3,-7.2,92.9
SAGARDEEP,11/02/2025,-35,-31.8,0,-31.6,-11.4
SAIL,11/02/2025,-84.2,-84.3,-68.5,-0.8,4.9
SALZERELEC,11/02/2025,-44.4,-44.4,13.8,-0.8,27.2
SAMMAANCAP,11/02/2025,111,110.7,-2.6,-16.8,-5.9
SATIA,11/02/2025,60.2,61,-51.1,10.5,-13.7
SCHNEIDER,11/02/2025,103.5,102.6,20,42.9,15.2
SEAMECLTD,11/02/2025,-1800,-3375,-105.9,69.9,-30
SEQUENT,11/02/2025,1.7,40,-65,6,18.6
SGL,11/02/2025,166.7,157.1,300,53.3,36.3
SHIVALIK,11/02/2025,55.3,30.9,65.4,3.5,21.4
SHREEPUSHK,11/02/2025,19.4,19.1,98.4,23.6,24.2
SIKKO,11/02/2025,-38.4,-37.5,-31.8,-23.9,-14.2
SIRCA,11/02/2025,-14,-13.6,5,-15.9,22.2
SOFTTECH,11/02/2025,-24.4,-61.1,-76.7,-6.2,16.2
SRM,11/02/2025,54.4,54.2,148,57.9,73.4
SUNDRMBRAK,11/02/2025,-40.7,-39.6,-72,6,4.1
SUYOG,11/02/2025,-15.4,-15.2,-16.6,2.1,16.7
TALBROAUTO,11/02/2025,1.6,1.8,3.2,-6.5,1.3
TATAINVEST,11/02/2025,-84.2,-84.1,-63.3,-97.4,-92.7
TBZ,11/02/2025,149.2,148.9,36.6,63.6,25.2
TECHNOE,11/02/2025,1.8,1.9,-4.4,44.1,94.8
TERASOFT,11/02/2025,66.4,68.3,77.1,-5.8,14.9
TGBHOTELS,11/02/2025,183.3,187.5,-28.1,18.5,-5.9
TIIL,11/02/2025,-41.8,-41.3,-30.5,2.5,25.7
TIMETECHNO,11/02/2025,2.6,2.3,7.5,1.3,4.8
TOLINS,11/02/2025,13.3,13.1,NA,-9.3,NA
TVTODAY,11/02/2025,4.9,5,-70.6,14.5,-9.9
VERTOZ,11/02/2025,11.4,12.5,-97.5,4,19.7
WINDLAS,11/02/2025,-0.6,-0.5,1.4,4.3,20.2
WORTH,11/02/2025,27,34,30.7,-3.2,14.3
YASHO,11/02/2025,-121.4,-121.4,-106.3,-8,16.1
ZEEMEDIA,11/02/2025,55,55,26.5,22,-4.7
ZODIACLOTH,11/02/2025,27.6,27.7,-299,6.6,25
AAATECH,10/02/2025,-53.8,-52.2,-64.8,57.4,24.6
AFFORDABLE,10/02/2025,-13.9,-13.4,NA,78.6,NA
AHL,10/02/2025,-1.7,1.4,16.3,99.6,152.9
AKSHARCHEM,10/02/2025,10.2,14.7,196,14.9,20.4
ALICON,10/02/2025,-95.4,-95.4,-95.4,-15.5,-3.2
APOLLOHOSP,10/02/2025,-4.1,-1.7,50.9,-1.1,13.9
ARIHANTCAP,10/02/2025,-38.7,-38.9,-39.8,-32.2,-28.8
ASHOKA,10/02/2025,43,43.2,501,-4.1,-10.1
ATL,10/02/2025,3.6,2.1,-27.3,-3.9,1.2
AVADHSUGAR,10/02/2025,674.7,702.4,-69.3,-2.4,3.8
AVANTIFEED,10/02/2025,15.9,18.9,84,0.8,9
AXITA,10/02/2025,-287.7,-233.3,-119,75.5,-14.1
BALAXI,10/02/2025,15.8,15.5,-92.7,-5.3,20.4
BALMLAWRIE,10/02/2025,1,2.7,-5.5,-1.3,7.8
BATAINDIA,10/02/2025,12.9,13.1,0,9.7,1.7
BCONCEPTS,10/02/2025,-1.7,-0.6,-44.2,-5.3,2
BLSE,10/02/2025,-5.7,-9.4,19,65.3,77.9
BODALCHEM,10/02/2025,2681,2250,152.9,3.5,31
BURNPUR,10/02/2025,NA,NA,NA,NA,NA
BUTTERFLY,10/02/2025,-34.6,-34.5,504.3,-7.6,0
CANTABIL,10/02/2025,421.9,426.9,34.8,47.4,26.8
CLSEL,10/02/2025,8.6,8.5,-25.5,7,-1.2
COMPUSOFT,10/02/2025,-69.4,-69.2,-81,-5.7,-64.4
CRISIL,10/02/2025,30.9,30.9,6.7,12.4,-0.5
CROWN,10/02/2025,22.8,23.7,64.3,14.3,18.5
