Stock Name,Quarterly Results Date,QoQ % Net Profit Latest,QoQ % EPS Latest,YoY% EPS Latest,QoQ % Sales Latest,YoY % Sales Latest
GUFICBIO,14/02/2025,-11.4,-11.5,-16.1,1.8,2.9
GUJRAFFIA,14/02/2025,-11.1,7.1,-60.5,10.5,-15.4
GVKPIL,14/02/2025,-102.8,-102,69,-63.4,6.3
HARDWYN,14/02/2025,1.5,-11.1,-63.6,-13.6,-1.8
HCG,14/02/2025,-62.6,-61.2,6.4,0.9,18.9
HDIL,14/02/2025,377.3,450,366.7,3175,3251.2
HERANBA,14/02/2025,-127.5,-126.8,-172.2,-22,13.9
HGS,14/02/2025,83,94.1,-125.4,-2.1,-11.6
HILTON,14/02/2025,-32.8,-26.9,-82.2,-8,-3.6
HINDWAREAP,14/02/2025,-14.3,-14.6,-394.4,-5.7,-14.3
HMT,14/02/2025,-89.6,-92,-73.5,-29.9,-9.8
HUBTOWN,14/02/2025,5.3,23.8,373.5,-6.6,196.5
INCREDIBLE,14/02/2025,47.8,47.7,116.7,-10.7,2
INGERRAND,14/02/2025,28.6,28.6,40.3,19.6,17
IZMO,14/02/2025,-79.7,-80.7,-21.5,0.1,16.7
JAICORPLTD,14/02/2025,-27.9,-28.1,-10.4,-6.9,17.8
JAMNAAUTO,14/02/2025,10.1,10,-24.1,9.7,-6.9
JINDALPOLY,14/02/2025,-96.5,-96.5,121.5,4.6,39.4
JNKINDIA,14/02/2025,-63.5,-63.6,NA,-10,-22
JPASSOCIAT,14/02/2025,-157.8,-161.3,-61.1,8.5,-0.8
JUBLCPL,14/02/2025,NA,NA,NA,NA,NA
KDDL,14/02/2025,32.4,32.1,25.2,19.1,26.8
KEYFINSERV,14/02/2025,-35.7,-35.4,-42.8,-41.3,-52.6
KITEX,14/02/2025,10.2,-63.3,-11.2,28,68.3
KOHINOOR,14/02/2025,-13733.3,-22300,-5500,-16.7,-16.4
KOTHARIPRO,14/02/2025,108.8,104.4,-42.5,-16.7,-2
KSHITIJPOL,14/02/2025,83.3,84.8,-110.2,-18.9,-24.9
